Date,Price,Exogenous 1,Exogenous 2,Price_no_outliers
2019-01-02 00:00:00,64.03,24914.0,5814.5,64.03
2019-01-02 01:00:00,61.74,22758.0,6484.4,61.74
2019-01-02 02:00:00,53.0,20772.0,6699.2,53.0
2019-01-02 03:00:00,48.23,19690.0,6981.3,48.23
2019-01-02 04:00:00,47.23,19176.0,7298.0,47.23
2019-01-02 05:00:00,45.24,19186.0,7711.8,45.24
2019-01-02 06:00:00,45.7,20119.0,8186.9,45.7
2019-01-02 07:00:00,51.1,23170.0,8695.7,51.1
2019-01-02 08:00:00,58.37,27403.0,9077.6,58.37
2019-01-02 09:00:00,63.75,31126.0,9368.9,63.75
2019-01-02 10:00:00,66.1,33861.0,10053.8,66.1
2019-01-02 11:00:00,65.88,34907.0,10835.6,65.88
2019-01-02 12:00:00,63.63,35244.0,11533.5,63.63
2019-01-02 13:00:00,62.8,34995.0,11849.4,62.8
2019-01-02 14:00:00,63.16,34970.0,11757.5,63.16
2019-01-02 15:00:00,61.5,33722.0,11510.6,61.5
2019-01-02 16:00:00,60.69,32795.0,11013.8,60.69
2019-01-02 17:00:00,62.19,32411.0,10121.4,62.19
2019-01-02 18:00:00,67.1,32696.0,8735.7,67.1
2019-01-02 19:00:00,69.3,34130.0,7781.8,69.3
2019-01-02 20:00:00,69.25,34671.0,7548.3,69.25
2019-01-02 21:00:00,68.07,34772.0,7238.6,68.07
2019-01-02 22:00:00,68.01,34508.0,7026.3,68.01
2019-01-02 23:00:00,66.66,32496.0,6794.9,66.66
2019-01-03 00:00:00,64.28,29281.0,6558.0,64.28
2019-01-03 01:00:00,62.01,27364.0,5995.2,62.01
2019-01-03 02:00:00,54.85,25210.0,5714.9,54.85
2019-01-03 03:00:00,52.19,23960.0,5569.3,52.19
2019-01-03 04:00:00,50.21,23429.0,5487.9,50.21
2019-01-03 05:00:00,50.2,23387.0,5393.6,50.2
2019-01-03 06:00:00,52.19,24026.0,5324.0,52.19
2019-01-03 07:00:00,54.91,26413.0,5332.5,54.91
2019-01-03 08:00:00,66.58,30504.0,5275.9,66.58
2019-01-03 09:00:00,68.03,33941.0,5129.0,68.03
2019-01-03 10:00:00,69.12,36099.0,5463.700000000001,69.12
2019-01-03 11:00:00,69.19,37225.0,6023.7,69.19
2019-01-03 12:00:00,68.01,37319.0,6373.0,68.01
2019-01-03 13:00:00,67.2,36930.0,6474.5,67.2
2019-01-03 14:00:00,66.7,36592.0,6222.8,66.7
2019-01-03 15:00:00,67.0,35122.0,5764.5,67.0
2019-01-03 16:00:00,68.01,34403.0,5334.200000000001,68.01
2019-01-03 17:00:00,68.99,34206.0,4609.2,68.99
2019-01-03 18:00:00,70.0,34520.0,3532.6,70.0
2019-01-03 19:00:00,71.1,35921.0,2976.1,71.1
2019-01-03 20:00:00,70.55,36548.0,2808.2,70.55
2019-01-03 21:00:00,68.38,36528.0,2844.3,68.38
2019-01-03 22:00:00,67.83,36054.0,2873.2,67.83
2019-01-03 23:00:00,66.1,33850.0,2834.8,66.1
2019-01-04 00:00:00,66.88,30846.0,2790.1,66.88
2019-01-04 01:00:00,67.2,27702.0,4195.8,67.2
2019-01-04 02:00:00,63.75,25236.0,4104.5,63.75
2019-01-04 03:00:00,58.89,23829.0,4010.2,58.89
2019-01-04 04:00:00,54.94,23185.0,3902.8,54.94
2019-01-04 05:00:00,54.85,23013.0,3786.2,54.85
2019-01-04 06:00:00,58.0,23540.0,3646.6,58.0
2019-01-04 07:00:00,63.0,25669.0,3504.6,63.0
2019-01-04 08:00:00,68.4,29733.0,3336.4,68.4
2019-01-04 09:00:00,69.71,32822.0,3194.2,69.71
2019-01-04 10:00:00,71.06,35163.0,3626.6,71.06
2019-01-04 11:00:00,71.06,36469.0,4252.3,71.06
2019-01-04 12:00:00,70.16,36426.0,4771.3,70.16
2019-01-04 13:00:00,70.01,35688.0,5156.6,70.01
2019-01-04 14:00:00,69.17,35375.0,5354.0,69.17
2019-01-04 15:00:00,69.15,34469.0,5388.5,69.15
2019-01-04 16:00:00,68.4,33398.0,5153.6,68.4
2019-01-04 17:00:00,68.4,32878.0,4445.0,68.4
2019-01-04 18:00:00,69.15,32912.0,3318.0,69.15
2019-01-04 19:00:00,71.06,34649.0,2722.8,71.06
2019-01-04 20:00:00,71.94,35261.0,2473.5,71.94
2019-01-04 21:00:00,70.2,35462.0,2431.0,70.2
2019-01-04 22:00:00,68.71,35365.0,2426.2,68.71
2019-01-04 23:00:00,68.68,33520.0,2533.5,68.68
2019-01-05 00:00:00,68.17,30476.0,2716.5,68.17
2019-01-05 01:00:00,71.68,27656.0,2811.6,71.68
2019-01-05 02:00:00,69.5,25470.0,2928.3,69.5
2019-01-05 03:00:00,68.07,23848.0,3116.0,68.07
2019-01-05 04:00:00,66.0,23023.0,3317.1,66.0
2019-01-05 05:00:00,63.93,22667.0,3628.4,63.93
2019-01-05 06:00:00,62.0,22645.0,4008.1,62.0
2019-01-05 07:00:00,60.84,23224.0,4394.9,60.84
2019-01-05 08:00:00,62.92,24387.0,4751.3,62.92
2019-01-05 09:00:00,60.79,26109.0,5065.6,60.79
2019-01-05 10:00:00,66.92,28906.0,5809.3,66.92
2019-01-05 11:00:00,69.12,31198.0,6802.0,69.12
2019-01-05 12:00:00,68.25,31418.0,7497.1,68.25
2019-01-05 13:00:00,67.67,31280.0,7857.6,67.67
2019-01-05 14:00:00,64.0,31465.0,8166.5,64.0
2019-01-05 15:00:00,61.57,30659.0,8442.5,61.57
2019-01-05 16:00:00,59.4,29182.0,8457.0,59.4
2019-01-05 17:00:00,58.31,28291.0,8285.3,58.31
2019-01-05 18:00:00,67.2,28349.0,7756.6,67.2
2019-01-05 19:00:00,69.0,30316.0,7760.8,69.0
2019-01-05 20:00:00,68.71,31027.0,7906.7,68.71
2019-01-05 21:00:00,68.07,31637.0,8143.7,68.07
2019-01-05 22:00:00,65.38,31894.0,8306.6,65.38
2019-01-05 23:00:00,65.76,30648.0,8321.2,65.76
2019-01-06 00:00:00,62.8,28605.0,8309.0,62.8
2019-01-06 01:00:00,63.75,26500.0,8128.8,63.75
2019-01-06 02:00:00,54.7,24429.0,7995.2,54.7
2019-01-06 03:00:00,54.05,22797.0,7869.9,54.05
2019-01-06 04:00:00,48.06,21811.0,7710.6,48.06
2019-01-06 05:00:00,48.37,21226.0,7610.3,48.37
2019-01-06 06:00:00,47.17,21159.0,7535.5,47.17
2019-01-06 07:00:00,48.19,21602.0,7469.8,48.19
2019-01-06 08:00:00,50.2,22235.0,7256.6,50.2
2019-01-06 09:00:00,52.2,23075.0,7089.2,52.2
2019-01-06 10:00:00,54.7,25027.0,7506.900000000001,54.7
2019-01-06 11:00:00,62.0,27389.0,8102.2,62.0
2019-01-06 12:00:00,64.01,28241.0,8568.3,64.01
2019-01-06 13:00:00,64.18,27944.0,8830.5,64.18
2019-01-06 14:00:00,64.86,27927.0,8941.9,64.86
2019-01-06 15:00:00,64.01,27195.0,8851.0,64.01
2019-01-06 16:00:00,58.31,25703.0,8597.3,58.31
2019-01-06 17:00:00,54.94,25050.0,8222.1,54.94
2019-01-06 18:00:00,63.43,25523.0,7506.599999999999,63.43
2019-01-06 19:00:00,67.37,28091.0,7173.5,67.37
2019-01-06 20:00:00,67.2,29487.0,7353.5,67.2
2019-01-06 21:00:00,66.03,30530.0,7498.9,66.03
2019-01-06 22:00:00,68.0,31186.0,7538.4,68.0
2019-01-06 23:00:00,67.65,30546.0,7490.1,67.65
2019-01-07 00:00:00,65.38,28304.0,7459.8,65.38
2019-01-07 01:00:00,59.59,25943.0,7495.2,59.59
2019-01-07 02:00:00,54.09,24012.0,7312.1,54.09
2019-01-07 03:00:00,52.2,22837.0,7158.0,52.2
2019-01-07 04:00:00,50.9,22272.0,6993.3,50.9
2019-01-07 05:00:00,50.5,22039.0,6928.9,50.5
2019-01-07 06:00:00,50.9,22535.0,6915.4,50.9
2019-01-07 07:00:00,55.77,24581.0,6911.1,55.77
2019-01-07 08:00:00,68.61,27412.0,6890.6,68.61
2019-01-07 09:00:00,69.15,29668.0,6919.7,69.15
2019-01-07 10:00:00,69.7,31728.0,7467.0,69.7
2019-01-07 11:00:00,69.49,33566.0,8262.4,69.49
2019-01-07 12:00:00,69.01,34142.0,8954.8,69.01
2019-01-07 13:00:00,69.0,33662.0,9498.2,69.0
2019-01-07 14:00:00,68.74,33646.0,9597.1,68.74
2019-01-07 15:00:00,66.62,32953.0,9601.3,66.62
2019-01-07 16:00:00,64.99,31916.0,9363.8,64.99
2019-01-07 17:00:00,62.67,31288.0,8834.6,62.67
2019-01-07 18:00:00,67.04,31363.0,7631.5,67.04
2019-01-07 19:00:00,70.39,33111.0,6806.799999999999,70.39
2019-01-07 20:00:00,70.33,34442.0,6736.7,70.33
2019-01-07 21:00:00,69.0,35233.0,6641.3,69.0
2019-01-07 22:00:00,67.14,35113.0,6504.8,67.14
2019-01-07 23:00:00,63.0,33178.0,6425.3,63.0
2019-01-08 00:00:00,60.84,30208.0,6315.4,60.84
2019-01-08 01:00:00,59.59,27432.0,6703.2,59.59
2019-01-08 02:00:00,54.34,25109.0,6639.1,54.34
2019-01-08 03:00:00,52.1,24023.0,6715.1,52.1
2019-01-08 04:00:00,50.71,23512.0,6830.1,50.71
2019-01-08 05:00:00,50.5,23581.0,6877.9,50.5
2019-01-08 06:00:00,51.17,24307.0,6858.6,51.17
2019-01-08 07:00:00,54.69,27031.0,6806.9,54.69
2019-01-08 08:00:00,65.82,31842.0,6757.0,65.82
2019-01-08 09:00:00,67.2,35553.0,6834.2,67.2
2019-01-08 10:00:00,68.16,37711.0,7460.9,68.16
2019-01-08 11:00:00,68.53,38916.0,8334.2,68.53
2019-01-08 12:00:00,68.15,38795.0,9122.9,68.15
2019-01-08 13:00:00,67.95,37699.0,9913.9,67.95
2019-01-08 14:00:00,67.97,37464.0,10212.6,67.97
2019-01-08 15:00:00,65.48,35967.0,10228.0,65.48
2019-01-08 16:00:00,63.13,35214.0,10109.4,63.13
2019-01-08 17:00:00,59.99,35009.0,9739.5,59.99
2019-01-08 18:00:00,67.25,35285.0,8989.2,67.25
2019-01-08 19:00:00,69.94,36976.0,8857.0,69.94
2019-01-08 20:00:00,70.0,37996.0,9118.3,70.0
2019-01-08 21:00:00,68.15,38116.0,9270.2,68.15
2019-01-08 22:00:00,67.25,37392.0,9274.5,67.25
2019-01-08 23:00:00,63.7,34524.0,9241.3,63.7
2019-01-09 00:00:00,58.85,31298.0,9215.9,58.85
2019-01-09 01:00:00,54.09,28828.0,9157.6,54.09
2019-01-09 02:00:00,52.5,26770.0,9059.0,52.5
2019-01-09 03:00:00,49.4,25422.0,9024.9,49.4
2019-01-09 04:00:00,49.6,24831.0,8932.6,49.6
2019-01-09 05:00:00,49.4,24796.0,8914.3,49.4
2019-01-09 06:00:00,49.99,25480.0,9049.2,49.99
2019-01-09 07:00:00,53.28,28088.0,8928.5,53.28
2019-01-09 08:00:00,64.07,32797.0,8956.3,64.07
2019-01-09 09:00:00,67.16,35976.0,9053.2,67.16
2019-01-09 10:00:00,67.29,37383.0,9678.9,67.29
2019-01-09 11:00:00,67.2,38283.0,10697.0,67.2
2019-01-09 12:00:00,67.0,38099.0,11664.5,67.0
