Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,141.6615046286011,143.42269561553502,122.80660699749308,130.14827132564088,115.84222024109052,114.73702624185697,107.15413426376222,103.89027230636356,103.74713341454364,92.84847709132018,129.69761303936738,80.00653195959984,73.54826089030931,130.15314979350643,130.35635345249472,136.47775453641043,145.63093078448176,146.2063350311713,166.45887989177754,183.99693109248784,191.31696769007158,72.00125862273111,189.39395293969466,162.58198531020287
2022-01-02,181.25483294222119,154.7447536110291,149.0554199888399,147.0021902912903,135.35007895894682,127.38541656389505,137.98747616134497,147.51654898430525,139.16436891204557,131.85073902799272,144.381574722609,159.0719201821886,170.17546604629166,170.47199529133306,173.91850511261825,172.09818101162028,175.18805760610255,182.76324799541263,196.0648544609155,215.9689562851126,223.4352490669416,220.89707525217807,179.5792025397483,172.48417832710174
2022-01-03,175.03354020939568,167.58494549454545,151.08012336160388,151.60382136293708,154.97702063609546,153.66825692713218,163.20859386781444,188.21521190091758,188.1315670731945,179.8618466003948,173.72162909381052,154.8384199391095,153.22713255459828,150.02852786258507,150.4747845010581,150.0723938336993,152.81404092226938,161.613091991151,171.67023627551106,194.48340564817033,196.85298628141828,168.92466569756544,145.0532089744367,127.29976665952663
2022-01-04,102.81018826599592,108.09610828966994,96.83655796133823,87.26934074060428,79.2586244427396,93.99005720301051,107.3112563497273,110.88033803008622,129.69453474886953,128.1766797118957,130.1770203455493,117.07236894171677,103.24089823038148,112.40788008679381,96.94150442234954,111.98629471380639,121.76780793721919,98.59445266790343,122.4501946969587,148.3943387337256,162.54227406360218,157.59148328581384,131.51750967752665,113.99469147662549
2022-01-05,127.4449852376461,130.01468494979162,116.7171879317071,104.20226057224365,90.34793779250876,103.1711074668558,117.84230327622247,124.14076384756213,143.88329156319438,161.1829334715966,166.5374333446419,157.67180572195872,147.10988744993531,138.14166281999678,145.64678924165253,143.0409831514046,144.15307052857463,154.88847154109968,187.84963214639487,209.55804603296545,215.28836447334308,243.30064801367453,228.9019466184312,218.21925611432047
2022-01-06,191.49418025269992,186.64263183908193,174.1578815064816,165.27538358086045,149.4360623451832,141.22648061872664,138.28657425659543,142.9382904359589,153.20015296751797,152.86109059252817,182.09364097999682,172.3830718850088,183.50349681866564,182.94710930313002,186.05899826101054,187.22699750509935,187.57623099334188,203.09809035206402,202.79684094116615,222.7494596663612,235.75498901050904,217.8465678980748,208.839974254573,196.3468144445456
2022-01-07,200.42489653985396,197.51818100147565,184.1849115871078,176.59992710850074,165.44344891310885,148.32749034941486,154.77872906198994,185.66379309050615,211.93021352287434,216.0526253353343,223.8207560651821,221.96294404898126,211.82108240881726,205.7803821839497,213.36086860932824,212.22721836330362,217.35748263419111,229.41863313346394,222.0243681904945,239.3454230959616,257.34691596956236,225.7266745221686,200.31103307806904,170.7720900881543
2022-01-08,215.40781370631856,211.8516100893704,190.90905118543165,178.1755259012222,170.9327286801678,157.7986476432823,156.74988940383736,167.89553249349495,184.2820198779759,195.6077718001283,204.97611719612775,200.2992137077226,192.8897432781846,180.76696692254396,182.94774347034235,184.63850647815067,185.0234119808639,197.0680479642314,208.67286338388118,215.30420897558355,236.13306729058044,212.75213228846928,204.09276322428465,184.69309426924582
2022-01-09,172.67064498991346,179.64983290852493,149.84641184187947,127.89902317743591,114.17747023484904,104.83796117693868,101.61887952489862,115.02180575249069,134.072792550023,140.83300512601554,151.44983553910845,159.1085245698934,149.09212621394497,138.6491008480578,131.34874493040107,126.35869291784894,131.25281316804498,150.40410523644897,189.62475822245364,192.44667658490891,210.6536905634469,199.51329605598383,191.46931445280848,178.9315706954762
2022-01-10,195.5341718006827,185.62500016864888,170.31562141580767,152.07971513637548,137.15188487703253,137.9279010244648,160.02645780205197,190.6011054923823,206.3895617136789,221.70853017546935,222.0500854008102,211.44164636933522,201.32305248990724,202.82937827972543,196.5756449749327,194.92164701381859,190.53350449556632,195.3779066127091,240.93670926535577,252.02039300906605,244.66971119505732,241.97438703526586,245.13386501435545,214.8573361200704
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-16,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,
